#,group,uid,age,real_age,sex,gt,number_of_runs,run_speed,run_max_variation,front_bos,hind_bos,front_strlen,hind_strlen,front_swingspd,hind_swingspd,front_stepcyc,hind_stepcyc
144,Sher,885617,0,4,0,0,3,72.89579,13,0.939898,2.257783,9.871102,9.59783,129.3531,133.8157,0.126024,0.127989
145,Sher,937428,0,4,1,2,2,72.00351,30.5,1.074879,2.124675,9.371426,9.48433,122.7475,130.3802,0.136009,0.130879
146,Sher,856388,0,4,1,2,2,51.94324,38.5,1.330435,2.157609,7.511716,7.547544,107.5276,93.40639,0.145191,0.150498
147,Sher,892663,0,4,1,2,3,60.18753,18.66667,1.414553,2.111514,8.985208,8.928004,134.7384,110.4843,0.129927,0.136614
148,Sher,913583,0,4,1,0,2,39.14145,30.5,1.507246,2.414696,7.158839,6.427232,111.1867,90.907,0.159603,0.147631
149,Sher,892507,0,4,1,0,2,80.80446,14.5,1.256039,2.342995,10.06399,9.968165,153.8689,148.3503,0.116969,0.118213
150,Sher,913889,0,4,1,0,2,27.68375,33,1.38587,2.173913,6.634483,6.551196,73.22882,68.12124,0.223167,0.234584
151,Sher,908601,0,4,1,0,2,75.40715,14,1.376812,2.36715,9.878853,9.787485,148.4312,132.9248,0.121072,0.123568
152,Sher,914285,0,4,1,0,3,69.24007,15.66667,1.15942,2.206119,10.13162,9.96722,124.0556,116.564,0.138749,0.141243
153,Sher,886387,0,4,1,0,2,48.63448,42,1.595132,2.600334,9.153569,8.638471,126.8144,105.117,0.155213,0.166285
154,Sher,908878,0,4,1,0,3,72.04529,9.333333,1.149607,2.554348,10.77056,10.6519,131.1087,129.1954,0.146474,0.145478
155,Sher,856273,0,4,1,0,2,72.63942,20.5,1.047705,2.071256,9.208762,9.112173,133.4508,131.8423,0.118567,0.120594
158,GRP4,968082,1,10,0,0,3,34.14646,37.33333,1.382588,2.369071,7.846948,7.689676,84.0676,81.04095,0.200929,0.210374
159,GRP4,364483,0,4,0,2,3,70.92281,23.33333,1.292533,1.955973,8.231038,8.410813,144.7194,133.6785,0.110413,0.111707
160,GRP4,364424,0,4,0,2,1,72.17809,10,1.268116,2.324879,8.953298,8.600317,145.577,130.0732,0.113354,0.115342
161,GRP4,364466,0,4,1,2,5,69.87969,27.6,1.210457,2.080606,9.390609,9.302911,133.943,126.2025,0.120556,0.126252
162,GRP4,364463,0,4,1,2,3,67.94243,31.33333,1.356582,1.942523,9.43353,9.079237,143.1459,129.8458,0.118887,0.117126
163,GRP4,364442,0,4,0,2,3,64.12223,35.33333,1.508756,2.256441,9.144937,8.923783,134.7963,119.1048,0.122841,0.13062
164,GRP4,364461,0,4,1,2,6,66.75498,21.66667,1.407005,2.311476,8.836222,8.680511,133.6706,118.5004,0.124888,0.12764
165,GRP4,364478,0,4,0,0,4,65.83798,23.25,1.37368,2.500447,9.198355,8.667806,129.325,113.6849,0.135909,0.128585
166,GRP4,364426,0,4,1,0,3,65.11017,29.33333,1.308374,1.993056,8.82145,8.846392,125.2186,119.5483,0.126363,0.133273
167,GRP4,364409,0,4,0,0,3,73.91631,19,1.030596,2.181965,10.40872,10.2674,142.8945,136.2184,0.12536,0.130345
168,GRP4,364447,0,4,0,0,3,56.66181,15,1.525871,2.187579,9.129172,9.099502,123.6801,113.6099,0.152768,0.152767
169,GRP4,364425,0,4,0,0,3,67.50885,27.33333,1.198494,2.031827,10.66373,10.58671,127.4949,125.7224,0.138771,0.144212
170,GRP4,65138,1,10,0,2,3,54.51738,41,1.375131,2.560386,8.150111,7.487317,151.5396,104.0016,0.128613,0.133332
171,GRP4,917331,1,10,0,2,3,72.27808,22.33333,1.129227,2.483256,9.00608,8.703092,144.8276,133.8029,0.11555,0.116409
172,GRP4,843548,1,10,0,2,3,59.64689,24,1.361866,2.298137,7.972599,8.41184,132.5881,117.6169,0.124531,0.133781
173,GRP4,909068,1,10,1,0,3,57.72028,20.33333,1.312399,2.487923,9.32966,9.149996,120.2705,119.3401,0.149615,0.148788
174,GRP4,57570,1,10,1,2,3,41.31166,35,1.241073,2.520479,7.704705,7.593001,83.99019,79.528,0.174538,0.182737
175,GRP4,967928,1,10,0,2,3,52.67525,19.33333,1.219807,2.447665,8.575312,8.485184,112.4121,101.7237,0.157027,0.161686
176,GRP4,92918,1,10,1,2,3,60.48762,18,1.497585,2.36715,9.246279,9.092027,125.766,109.3783,0.142164,0.143511
177,GRP4,923428,1,10,1,2,4,70.23212,22.25,1.059,2.469583,9.19432,8.876104,129.5398,120.1236,0.12047,0.118367
178,GRP4,967451,0,4,1,2,3,72.62696,21,1.078905,2.204106,10.00154,9.263606,137.8844,133.3749,0.13151,0.120685
179,GRP4,967970,0,4,1,2,3,64.20021,18,1.022544,2.278583,9.567619,9.200512,127.1399,115.3013,0.135921,0.138466
180,GRP4,364671,0,4,0,2,3,60.77402,36.33333,1.13285,2.069143,9.048295,8.488878,125.6627,109.3819,0.12843,0.135568
181,GRP4,364615,0,4,0,2,3,64.59527,28,1.580616,2.086353,8.814719,8.432669,126.8471,116.0958,0.126781,0.130335
182,GRP4,364647,0,4,0,2,3,69.28362,35,1.139291,1.908213,9.20048,8.581584,148.4244,128.4324,0.115111,0.118436
183,GRP4,364653,0,4,0,0,3,59.69771,22.66667,1.548611,2.346618,9.135246,8.966717,126.7965,107.6179,0.140698,0.143569
184,GRP4,364607,0,4,0,0,3,63.56066,20.66667,1.258263,2.375201,9.086356,9.212078,129.2194,122.336,0.133486,0.138031
185,GRP4,364620,0,4,1,2,3,74.22996,32,1.119163,2.037037,9.02649,8.395344,156.9007,134.9744,0.111089,0.111592
186,GRP4,364674,0,4,1,2,4,68.6577,32.25,1.197278,2.098861,8.621126,8.112365,139.2279,122.3416,0.115213,0.115152
187,GRP4,88984,1,10,1,0,3,32.8916,40,1.519901,2.502363,7.838994,7.695876,83.06587,73.87618,0.215902,0.226461
188,GRP4,841350,2,17,0,0,3,75.56781,20,1.140987,2.536232,9.796621,10.00177,138.5009,134.2683,0.122038,0.125557
189,GRP4,917308,2,17,0,2,3,48.89913,33.33333,1.379082,2.085842,7.03304,6.747986,94.43466,88.69713,0.136867,0.137002
190,GRP4,927366,2,17,0,2,3,45.00764,27,1.21256,2.172303,6.705845,6.417397,85.29083,71.96142,0.138076,0.136477
191,GRP4,913780,2,17,0,2,3,57.70589,32.66667,1.180707,2.308776,7.602739,6.443353,108.1851,80.35988,0.116542,0.103628
192,GRP4,892888,2,17,0,0,3,23.28364,44.33333,1.560041,2.131059,6.663634,6.252326,52.85402,52.84419,0.263487,0.260712
193,GRP4,914158,2,17,0,0,3,18.43306,29.33333,1.527448,2.513489,5.478887,5.192491,43.74897,41.49505,0.290682,0.272955
194,GRP4,916840,2,17,0,0,3,29.99587,45,1.405217,2.465517,7.620434,6.407378,68.98336,49.18824,0.231691,0.208768
195,GRP4,884467,2,17,0,0,3,18.34329,32.33333,1.398145,2.217391,4.998143,5.500987,48.31034,47.70666,0.282377,0.314096
196,GRP4,80693,2,17,0,0,3,17.14811,36.66667,1.648417,2.198752,6.506821,6.203417,44.8418,43.92669,0.342998,0.334612
197,GRP4,82574,2,17,0,0,3,24.77309,32,1.599034,2.132505,6.426212,6.440929,57.51695,58.96393,0.262357,0.266315
198,GRP4,855421,2,17,0,0,3,24.55114,34.33333,1.555184,2.190635,6.564389,6.392577,60.00165,57.42465,0.248164,0.253146
199,GRP4,914268,2,17,0,0,3,22.03521,22,1.505636,2.359154,6.451798,6.109857,53.47531,55.38445,0.292867,0.282993
200,GRP4,855659,2,17,0,0,3,18.97505,16.33333,1.385305,2.294158,5.852344,5.795303,43.04787,42.24654,0.290706,0.298333
201,GRP4,968302,2,17,0,2,3,23.22332,34.66667,1.416011,2.521209,5.071044,4.429087,61.92763,74.31785,0.214845,0.190849
202,GRP4,916561,2,17,0,2,3,38.82118,22.66667,1.237458,1.932904,7.000981,7.039909,81.46595,82.00067,0.177062,0.187635
203,GRP4,916457,2,17,1,0,2,41.51442,21,1.71095,2.395733,8.091148,8.125713,91.13,92.5122,0.182548,0.188905
204,GRP4,913733,2,17,1,0,3,40.16027,30.66667,1.58055,2.473078,7.703065,7.56873,90.26853,84.78971,0.197042,0.188313
205,GRP4,83466,2,17,1,0,3,52.47839,15.66667,1.605978,2.314312,8.952585,8.685517,103.6976,103.7656,0.168329,0.166903
206,GRP4,855873,2,17,1,0,3,53.31888,11,1.566023,2.319703,8.229555,8.058526,106.3029,103.9273,0.15231,0.153638
